名次,昵称,总分,最后提交时间
1,御坂美琴,4554,2023-01-24 18:19:51
2,k1ey,4554,2023-01-24 23:57:10
3,树木想带小羊打CTF捏,4093,2023-01-26 01:25:56
4,喜欢江雨婷,3506,2023-01-24 20:00:29
5,hangyi,3426,2023-01-25 21:22:44
6,爨灪麤彠龘靐齉爩蠿龘羃齑瀪爨灪麤彠龘靐齉,3225,2023-01-26 20:50:10
7,平芜尽处外,2880,2023-01-26 10:39:58
8,TokameinE,2723,2023-01-25 14:50:00
9,最爱吃兽奶,2370,2023-01-25 09:58:07
10,群傻逼，时不时被大佬暴虐,2366,2023-01-26 01:29:11
11,koyun88,2079,2023-01-25 09:10:32
12,Xtzzzz,1999,2023-01-26 09:17:11
13,不会打ctf又要来凑热闹的墨伊,1986,2023-01-24 18:26:28
14,我是fvv,1986,2023-01-25 08:52:05
15,多瑙河联邦,1979,2023-01-23 14:53:35
16,zer01,1203,2023-01-26 09:18:57
17,FlowerSugar,1167,2023-01-24 19:04:34
18,666,1132,2023-01-26 11:48:43
19,六年级小弟弟实名上网给各位出题人磕头辣,861,2023-01-25 19:01:23
20,nah-v0,793,2023-01-26 18:04:50
21,fggg,786,2023-01-21 14:56:01
22,FANGYU宇,733,2023-01-25 02:09:32
23,C0pyCat,694,2023-01-25 12:01:37
24,JuicyMio,614,2023-01-21 14:22:10
25,Mar10,601,2023-01-24 13:35:27
26,polang,557,2023-01-25 16:33:54
27,王八七七,536,2023-01-21 15:06:03
28,lwl,536,2023-01-21 17:14:31
29,故里,529,2023-01-21 10:02:17
30,HUBUKoi,529,2023-01-21 19:12:01
31,house_fz,529,2023-01-26 14:28:25
32,S1ngleT0Do,506,2023-01-24 20:23:20
33,小羊不会打ctf捏,495,2023-01-24 21:51:50
34,国资社畜,441,2023-01-23 14:02:16
35,one person 坐牢,334,2023-01-24 18:31:41
36,xie,304,2023-01-21 22:51:37
37,lvzhouhang,280,2023-01-25 14:54:08
38,C4skg,219,2023-01-21 09:21:41
39,菜企鹅,219,2023-01-21 11:02:41
40,ruizhongrui,219,2023-01-21 13:45:58
41,Kolay,219,2023-01-21 20:17:54
42,iller,219,2023-01-21 21:30:54
43,xiaopang,219,2023-01-21 21:35:43
44,skycandles,200,2023-01-26 16:45:46
45,啊啊啊啊,191,2023-01-21 11:04:44
46,吾王,191,2023-01-21 13:20:08
47,wandering,159,2023-01-21 10:04:13
48,黄金之蕉(超级小白),140,2023-01-26 18:27:28
49,S1gMa,131,2023-01-21 12:27:02
50,Dvgd,102,2023-01-25 11:56:43
